object_name,type,size_bytes,alignment_bytes,arena_offset,construct_site,last_reference_site,forbidden_overlap,pointer_pass_and_escape,normal_exit_clear,failure_exit_clear,retry_exit_clear,static_or_runtime_check,evidence_boundary
operation_owner,protocols_operation_workspace_t,172080,8,0,"src/platform/rp2350/keygen_sign_kat.c:456 (fill before KeyGen); :472 (fill before Sign); :492 (fill before Verify)","src/platform/rp2350/keygen_sign_kat.c:504 (post-Verify full-owner check)","keygen; sign; verify are mutually exclusive operations","Member address is passed only down the synchronous K/S/V call; frozen-source scan finds no assignment to global/static pointer storage","Each encoded operation clears its active member; firmware checks the entire owner","Encoded K/S/V failure paths clear the active member; firmware stops on failure","No cross-operation retry. Each operation starts from a newly filled owner","operation-union static assertions; RP2350 leading/trailing guards; full-owner zero scan after K/S/V","One deterministic K/S/V boot; finite dynamic check, not all-input proof"
keygen_union,protocols_keygen_workspace_t,172080,8,0,"protocols_keygen_with_workspace:125","change_of_basis_matrix_tate_with_workspace:182-188","find_uv and dlog","Addresses are passed synchronously to find_uv/ML2 and dlog helpers; no return or stored owner pointer","protocols_keygen_workspace_clear:198-200","All fatal branches go to cleanup:198-200","Sampling/ordinary isogeny misses loop at 130-166; active callees clear/finalize their storage; whole union is not cleared on each retry","keygen_lowmem.c:12-19 static assertions; KeyGen guard/zero fixtures","Retry safety depends on callee contracts plus reinitialization; terminal whole-owner clearing is directly checked"
sign_union,protocols_sign_workspace_t,172080,8,0,"protocols_sign_with_workspace:1126","protocols_sign_impl return:1127","find_uv; lattice_mul; ml2; fixed_degree; theta; dlog; even_isogeny","Member addresses are passed synchronously to phase helpers; frozen-source scan finds no global/static escape","protocols_sign_workspace_clear:1128","protocols_sign_impl cleanup followed by whole-union clear:1085-1095,1128","Sign retries at 883-1068; active callee storage is cleared/finalized or overwritten on the next phase; the whole union is not cleared per retry","sign.c:17-34 static assertions; Sign guard/zero fixtures; two 100-vector differential runs","The certificate does not infer per-retry whole-union zeroization"
verify_union,protocols_verify_workspace_t,15428,4,0,"protocols_verify_with_workspace:437","protocols_verify_core return:438","even_isogeny and theta","Pointers are passed synchronously to compute_challenge_verify and compute_commitment_curve_verify; no stored escape found","protocols_verify_workspace_clear:439","All core returns are followed by clear:437-439; encoded early failures also clear","Verify has no retry loop","verify.c:11-16 static assertions; modified-signature rejection and zeroization fixtures","Untrusted-input dynamic corpus is finite"
find_uv_lattice_state,find_uv_lattice_state_t,77168,8,0,"find_uv_with_workspace initialization and per-order init:1163-1201","publication/validation and finalization:1443-1508,1544-1549","Does not overlap find_uv.phase because both remain live during candidate search","Addresses of arrays are passed synchronously to lattice/quaternion helpers; no stored escape found","find_uv_workspace_clear:1564","Invalid input clears at 1154-1160; all later failure labels end at 1564","find_uv itself does not retry after returning NotFound; caller may retry only after terminal clear","fixed offset assertion phase=77168; find_uv guard/clear fixture","Long-lived non-overlap is encoded as struct concatenation rather than inferred"
find_uv_lattice_phase,quat_lattice_mul_workspace_t,94912,8,77168,"early find_uv lattice/ML2 calls beginning before candidate activation","last call at find_uv_with_workspace:1264-1273","candidates and fixed_degree at the same phase offset","Pointer is passed to synchronous lattice helpers; no global/static pointer store found","one-way phase clear at 1288 and terminal owner clear at 1564","Failures before transition go to terminal clear; failures after transition cannot reactivate it","Local ML2 retry member is cleared by its bounded retry wrapper; outer callers retry only after return","phase offset/member static assertions; canary and ASan/UBSan fixtures","Source-level escape scan is bounded and not an alias proof"
find_uv_candidate_phase,find_uv_candidate_workspace_t,14024,8,77168,"eval initialization:1327-1331","eval finalization:1530-1534 after last search/publication use","lattice_mul and fixed_degree at the same phase offset","Subobject pointers are passed only to finduv_prepare_row/find_uv_from_compact_lists; no escape found","terminal find_uv_workspace_clear:1564","row/replay/count failure goes through cleanup_workspace_fatal then terminal clear","A NotFound return clears the complete find_uv owner before any caller retry","candidate size/offset static assertions; sketch collision test; find_uv guard/clear fixture","The validation pass checks counts, not semantic equality of regenerated rows; determinism is a frozen-code assumption"
lattice_mul_subunion,quat_lattice_mul_workspace_t,94912,8,77168,"lattice multiply helper entry","helper return before caller uses a different submember","ml2 and hnf at offset zero","Synchronous nested calls only; no escape found","Each helper clears active retry/HNF object and find_uv terminal clear covers the union","Same clear obligations on helper failure","ML2 bounded local attempts reuse the member; each failed attempt finalizes/clears its initialized state","sizeof/offsetof assertions at keygen_lowmem.c:66-74; sanitizer and failure matrix","Individual helper lifetime facts are enforced by tests and review, not a whole-program verifier"
fixed_degree_subunion,fixed_degree_isogeny_workspace_t,94912,8,77168,"fixed-degree isogeny entry","theta-chain completion before return","ml2 and theta at offset zero","Member address passed synchronously to ML2 then theta helpers; no escape found","Both active helpers clear their state; enclosing owner clears at return","Same on error paths","ML2 retry completes before theta activation; failed outer operation clears owner","sizeof/offsetof assertions at keygen_lowmem.c:87-91; fixed-degree guard fixture","Phase ordering is manually certified"
keygen_post_finduv_dlog,ec_dlog_2_workspace_t,1584,4,0,"change_of_basis_matrix_tate_with_workspace:182","same synchronous call return:188","entire earlier find_uv storage in keygen union","Pointer passed synchronously to Tate/dlog helper; no escape found","terminal keygen clear:198-200","dlog failure goes to terminal clear:188-200","No dlog retry at this owner level","keygen union offset-zero and dlog size/alignment assertions; workspace differential fixture","Reactivation occurs only after find_uv has returned and cleared"
verify_even_then_theta,"ec_eval_even_workspace_t / theta_chain_workspace_t","1316 / 15428","4 / 4",0,"even pointer:345-352; theta pointer:375-383","theta helper return:383","even_isogeny and theta","Both pointer uses are synchronous; no escape found","protocols_verify_with_workspace clears after core return","Every validation failure returns to wrapper clear","No retry","verify offset-zero assertions; modified-signature and invalid-length fixtures","Control-flow order is source-audited at the frozen commit"
